index,sample_id,ab_value,otu
bacteria1,CSM5FZ4M,32.58117,g__Bacteroides|s__Bacteroides_uniformis
bacteria2,CSM5FZ4M,19.08632,g__Bacteroides|s__Bacteroides_ovatus
bacteria3,CSM5FZ4M,13.06322,g__Bacteroides|s__Bacteroides_dorei
bacteria4,CSM5FZ4M,9.36191,g__Faecalibacterium|s__Faecalibacterium_prausnitzii
bacteria5,CSM5FZ4M,6.05912,g__Parabacteroides|s__Parabacteroides_unclassified
bacteria6,CSM5FZ4M,5.87475,g__Alistipes|s__Alistipes_putredinis
bacteria7,CSM5FZ4M,2.87905,g__Acidaminococcus|s__Acidaminococcus_unclassified
bacteria8,CSM5FZ4M,1.99315,g__Bacteroides|s__Bacteroides_thetaiotaomicron
bacteria9,CSM5FZ4M,1.58429,g__Parabacteroides|s__Parabacteroides_johnsonii
bacteria10,CSM5FZ4M,1.56577,g__Subdoligranulum|s__Subdoligranulum_unclassified
bacteria11,CSM5FZ4M,1.1119,g__Bacteroides|s__Bacteroides_xylanisolvens
bacteria12,CSM5FZ4M,0.90411,g__Bacteroides|s__Bacteroides_salyersiae
bacteria13,CSM5FZ4M,0.71109,g__Ruminococcus|s__Ruminococcus_bromii
bacteria14,CSM5FZ4M,0.41547,g__Oscillibacter|s__Oscillibacter_unclassified
bacteria15,CSM5FZ4M,0.41528,g__Alistipes|s__Alistipes_onderdonkii
bacteria16,CSM5FZ4M,0.307,g__Dorea|s__Dorea_longicatena
bacteria17,CSM5FZ4M,0.28149,g__Eubacterium|s__Eubacterium_siraeum
bacteria18,CSM5FZ4M,0.26035,g__Parabacteroides|s__Parabacteroides_distasonis
bacteria19,CSM5FZ4M,0.16194,g__Blautia|s__Ruminococcus_obeum
bacteria20,CSM5FZ4M,0.15772,g__Eubacterium|s__Eubacterium_hallii
bacteria21,CSM5FZ4M,0.13645,g__Coprococcus|s__Coprococcus_comes
bacteria22,CSM5FZ4M,0.11235,g__Dorea|s__Dorea_formicigenerans
bacteria23,CSM5FZ4M,0.10136,g__Escherichia|s__Escherichia_coli
bacteria24,CSM5FZ4M,0.10076,g__Blautia|s__Ruminococcus_torques
bacteria25,CSM5FZ4M,0.09151,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA
bacteria26,CSM5FZ4M,0.08177,g__Clostridium|s__Clostridium_leptum
bacteria27,CSM5FZ4M,0.07802,g__Blautia|s__Ruminococcus_gnavus
bacteria28,CSM5FZ4M,0.06278,g__Odoribacter|s__Odoribacter_unclassified
bacteria29,CSM5FZ4M,0.04782,g__Bilophila|s__Bilophila_unclassified
bacteria30,CSM5FZ4M,0.03619,g__Holdemania|s__Holdemania_filiformis
bacteria31,CSM5FZ4M,0.02001,g__Anaerostipes|s__Anaerostipes_caccae
bacteria32,CSM5FZ4M,0.01955,g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA
bacteria33,CSM5FZ4M,0.0145,g__Collinsella|s__Collinsella_tanakaei
bacteria34,CSM5FZ4M,0.01278,g__Mitsuokella|s__Mitsuokella_unclassified
bacteria35,CSM5FZ4M,0.01023,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA
bacteria36,CSM5FZ4M,0.00788,g__Clostridium|s__Clostridium_clostridioforme
bacteria37,CSM5FZ4M,0.00678,g__Alistipes|s__Alistipes_finegoldii
bacteria38,CSM5FZ4M,0.00619,g__Potyvirus|s__Dasheen_mosaic_virus
bacteria39,CSM5FZ4M,0.00449,g__Bilophila|s__Bilophila_wadsworthia
bacteria40,CSM5FZ4M,0.00369,g__Clostridium|s__Clostridium_bolteae
bacteria41,CSM5FZ4M,0.00362,g__Bacteroides|s__Bacteroides_vulgatus
bacteria42,CSM5FZ4M,0.00299,g__Bacteroides|s__Bacteroides_caccae
bacteria43,CSM5FZ4M,0.00279,g__Anaerostipes|s__Anaerostipes_unclassified
bacteria44,CSM5FZ4M,0.00159,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA
bacteria45,CSM5FZ4M,0.00119,g__Clostridium|s__Clostridium_asparagiforme
bacteria46,CSM5FZ4M,0.00072,g__Propionibacterium|s__Propionibacterium_acnes
bacteria47,CSM5FZ4M,0.00055,g__Blautia|s__Blautia_hydrogenotrophica
bacteria48,CSM5FZ4M,0,g__Bacteroides|s__Bacteroides_stercoris
bacteria49,CSM5FZ4M,0,g__Eubacterium|s__Eubacterium_eligens
bacteria50,CSM5FZ4M,0,g__Roseburia|s__Roseburia_intestinalis
bacteria51,CSM5FZ4M,0,g__Eubacterium|s__Eubacterium_rectale
bacteria52,CSM5FZ4M,0,g__Bacteroides|s__Bacteroides_plebeius
bacteria53,CSM5FZ4M,0,g__Paraprevotella|s__Paraprevotella_unclassified
bacteria54,CSM5FZ4M,0,g__Barnesiella|s__Barnesiella_intestinihominis
bacteria55,CSM5FZ4M,0,g__Oscillibacter|s__Oscillibacter_sp_KLE_1745
bacteria56,CSM5FZ4M,0,g__Parasutterella|s__Parasutterella_excrementihominis
bacteria57,CSM5FZ4M,0,g__Roseburia|s__Roseburia_inulinivorans
bacteria58,CSM5FZ4M,0,g__Anaerostipes|s__Anaerostipes_hadrus
bacteria59,CSM5FZ4M,0,g__Paraprevotella|s__Paraprevotella_clara
bacteria60,CSM5FZ4M,0,g__Bacteroides|s__Bacteroides_fragilis
bacteria61,CSM5FZ4M,0,g__Klebsiella|s__Klebsiella_pneumoniae
bacteria62,CSM5FZ4M,0,g__Odoribacter|s__Odoribacter_splanchnicus
bacteria63,CSM5FZ4M,0,g__Parabacteroides|s__Parabacteroides_merdae
bacteria64,CSM5FZ4M,0,g__Bacteroides|s__Bacteroides_faecis
bacteria65,CSM5FZ4M,0,g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8
bacteria66,CSM5FZ4M,0,g__Paraprevotella|s__Paraprevotella_xylaniphila
bacteria67,CSM5FZ4M,0,g__Alistipes|s__Alistipes_shahii
bacteria68,CSM5FZ4M,0,g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified
bacteria69,CSM5FZ4M,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA
bacteria70,CSM5FZ4M,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA
bacteria71,CSM5FZ4M,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA
bacteria72,CSM5FZ4M,0,g__Siphoviridae_noname|s__Propionibacterium_phage_PHL060L00
bacteria73,CSM5FZ4M,0,g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47
bacteria74,CSM5FZ4M,0,g__Ruminococcus|s__Ruminococcus_albus
bacteria75,CSM5FZ4M,0,g__Ruminococcus|s__Ruminococcus_lactaris
bacteria76,CSM5FZ4M,0,g__Bacteroides|s__Bacteroides_cellulosilyticus
bacteria77,CSM5FZ4M,0,g__Clostridiaceae_noname|s__Clostridiaceae_bacterium_JC118
bacteria78,CSM5FZ4M,0,g__Bifidobacterium|s__Bifidobacterium_longum
bacteria79,CSM5FZ4M,0,g__Alistipes|s__Alistipes_senegalensis
bacteria80,CSM5FZ4M,0,g__Bifidobacterium|s__Bifidobacterium_adolescentis
bacteria81,CSM5FZ4M,0,g__Collinsella|s__Collinsella_aerofaciens
bacteria82,CSM5FZ4M,0,g__Haemophilus|s__Haemophilus_parainfluenzae
bacteria83,CSM5FZ4M,0,g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16
bacteria84,CSM5FZ4M,0,g__Ruminococcus|s__Ruminococcus_flavefaciens
bacteria85,CSM5FZ4M,0,g__Eubacterium|s__Eubacterium_ramulus
bacteria86,CSM5FZ4M,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA
bacteria87,CSM5FZ4M,0,g__Propionibacterium|s__Propionibacterium_granulosum
bacteria88,CSM5FZ4M,0,g__Roseburia|s__Roseburia_hominis
bacteria89,CSM5FZ4M,0,g__Pseudomonas|s__Pseudomonas_fragi
bacteria90,CSM5FZ4M,0,g__Flavonifractor|s__Flavonifractor_plautii
bacteria91,CSM5FZ4M,0,g__Coprococcus|s__Coprococcus_catus
bacteria92,CSM5FZ4M,0,g__Veillonella|s__Veillonella_unclassified
bacteria93,CSM5FZ4M,0,g__Leuconostoc|s__Leuconostoc_lactis
bacteria94,CSM5FZ4M,0,g__Veillonella|s__Veillonella_parvula
bacteria95,CSM5FZ4M,0,g__Clostridium|s__Clostridium_hathewayi
bacteria96,CSM5FZ4M,0,g__Streptococcus|s__Streptococcus_thermophilus
bacteria97,CSM5FZ4M,0,g__Clostridium|s__Clostridium_citroniae
bacteria98,CSM5FZ4M,0,g__Dialister|s__Dialister_invisus
bacteria99,CSM5FZ4M,0,g__C2likevirus|s__C2likevirus_unclassified
bacteria100,CSM5FZ4M,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA
bacteria101,CSM5FZ4M,0,g__Clostridium|s__Clostridium_nexile
bacteria102,CSM5FZ4M,0,g__Coprobacillus|s__Coprobacillus_unclassified
bacteria103,CSM5FZ4M,0,g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii
bacteria104,CSM5FZ4M,0,g__Escherichia|s__Escherichia_unclassified
bacteria105,CSM5FZ4M,0,g__Bacteroides|s__Bacteroides_massiliensis
bacteria106,CSM5FZ4M,0,g__Alistipes|s__Alistipes_unclassified
bacteria107,CSM5FZ4M,0,g__Clostridium|s__Clostridium_sp_ATCC_BAA_442
bacteria108,CSM5FZ4M,0,g__Coprobacter|s__Coprobacter_fastidiosus
bacteria109,CSM5FZ4M,0,g__Clostridium|s__Clostridium_symbiosum
bacteria110,CSM5FZ4M,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1
bacteria111,CSM5FZ4M,0,g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus
bacteria112,CSM5FZ4M,0,g__Dorea|s__Dorea_unclassified
bacteria113,CSM5FZ4M,0,g__Subdoligranulum|s__Subdoligranulum_variabile
bacteria114,CSM5FZ4M,0,g__Holdemania|s__Holdemania_unclassified
bacteria115,CSM5FZ4M,0,g__Eggerthella|s__Eggerthella_unclassified
bacteria116,CSM5FZ4M,0,g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_2_2_44A
bacteria1,CSM5MCUO,6.77076,g__Bacteroides|s__Bacteroides_uniformis
bacteria2,CSM5MCUO,3.44354,g__Bacteroides|s__Bacteroides_ovatus
bacteria3,CSM5MCUO,0.57939,g__Bacteroides|s__Bacteroides_dorei
bacteria4,CSM5MCUO,16.07059,g__Faecalibacterium|s__Faecalibacterium_prausnitzii
bacteria5,CSM5MCUO,0,g__Parabacteroides|s__Parabacteroides_unclassified
bacteria6,CSM5MCUO,4.7193,g__Alistipes|s__Alistipes_putredinis
bacteria7,CSM5MCUO,0,g__Acidaminococcus|s__Acidaminococcus_unclassified
bacteria8,CSM5MCUO,0.06236,g__Bacteroides|s__Bacteroides_thetaiotaomicron
bacteria9,CSM5MCUO,0,g__Parabacteroides|s__Parabacteroides_johnsonii
bacteria10,CSM5MCUO,3.20903,g__Subdoligranulum|s__Subdoligranulum_unclassified
bacteria11,CSM5MCUO,0.09044,g__Bacteroides|s__Bacteroides_xylanisolvens
bacteria12,CSM5MCUO,1.29821,g__Bacteroides|s__Bacteroides_salyersiae
bacteria13,CSM5MCUO,0,g__Ruminococcus|s__Ruminococcus_bromii
bacteria14,CSM5MCUO,0,g__Oscillibacter|s__Oscillibacter_unclassified
bacteria15,CSM5MCUO,0.34786,g__Alistipes|s__Alistipes_onderdonkii
bacteria16,CSM5MCUO,0.81932,g__Dorea|s__Dorea_longicatena
bacteria17,CSM5MCUO,0,g__Eubacterium|s__Eubacterium_siraeum
bacteria18,CSM5MCUO,0,g__Parabacteroides|s__Parabacteroides_distasonis
bacteria19,CSM5MCUO,0.12169,g__Blautia|s__Ruminococcus_obeum
bacteria20,CSM5MCUO,0.01715,g__Eubacterium|s__Eubacterium_hallii
bacteria21,CSM5MCUO,0.13398,g__Coprococcus|s__Coprococcus_comes
bacteria22,CSM5MCUO,1.26919,g__Dorea|s__Dorea_formicigenerans
bacteria23,CSM5MCUO,0.26399,g__Escherichia|s__Escherichia_coli
bacteria24,CSM5MCUO,0.2148,g__Blautia|s__Ruminococcus_torques
bacteria25,CSM5MCUO,0.01217,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA
bacteria26,CSM5MCUO,0,g__Clostridium|s__Clostridium_leptum
bacteria27,CSM5MCUO,0,g__Blautia|s__Ruminococcus_gnavus
bacteria28,CSM5MCUO,0,g__Odoribacter|s__Odoribacter_unclassified
bacteria29,CSM5MCUO,0.11601,g__Bilophila|s__Bilophila_unclassified
bacteria30,CSM5MCUO,0.15451,g__Holdemania|s__Holdemania_filiformis
bacteria31,CSM5MCUO,0,g__Anaerostipes|s__Anaerostipes_caccae
bacteria32,CSM5MCUO,0,g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA
bacteria33,CSM5MCUO,0,g__Collinsella|s__Collinsella_tanakaei
bacteria34,CSM5MCUO,0,g__Mitsuokella|s__Mitsuokella_unclassified
bacteria35,CSM5MCUO,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA
bacteria36,CSM5MCUO,0,g__Clostridium|s__Clostridium_clostridioforme
bacteria37,CSM5MCUO,0,g__Alistipes|s__Alistipes_finegoldii
bacteria38,CSM5MCUO,0,g__Potyvirus|s__Dasheen_mosaic_virus
bacteria39,CSM5MCUO,0.00579,g__Bilophila|s__Bilophila_wadsworthia
bacteria40,CSM5MCUO,0.00696,g__Clostridium|s__Clostridium_bolteae
bacteria41,CSM5MCUO,16.91571,g__Bacteroides|s__Bacteroides_vulgatus
bacteria42,CSM5MCUO,2.5743,g__Bacteroides|s__Bacteroides_caccae
bacteria43,CSM5MCUO,0,g__Anaerostipes|s__Anaerostipes_unclassified
bacteria44,CSM5MCUO,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA
bacteria45,CSM5MCUO,0,g__Clostridium|s__Clostridium_asparagiforme
bacteria46,CSM5MCUO,0,g__Propionibacterium|s__Propionibacterium_acnes
bacteria47,CSM5MCUO,0,g__Blautia|s__Blautia_hydrogenotrophica
bacteria48,CSM5MCUO,8.36427,g__Bacteroides|s__Bacteroides_stercoris
bacteria49,CSM5MCUO,7.45387,g__Eubacterium|s__Eubacterium_eligens
bacteria50,CSM5MCUO,6.7003,g__Roseburia|s__Roseburia_intestinalis
bacteria51,CSM5MCUO,3.77607,g__Eubacterium|s__Eubacterium_rectale
bacteria52,CSM5MCUO,2.61884,g__Bacteroides|s__Bacteroides_plebeius
bacteria53,CSM5MCUO,2.03598,g__Paraprevotella|s__Paraprevotella_unclassified
bacteria54,CSM5MCUO,1.95324,g__Barnesiella|s__Barnesiella_intestinihominis
bacteria55,CSM5MCUO,0.97829,g__Oscillibacter|s__Oscillibacter_sp_KLE_1745
bacteria56,CSM5MCUO,0.86767,g__Parasutterella|s__Parasutterella_excrementihominis
bacteria57,CSM5MCUO,0.75671,g__Roseburia|s__Roseburia_inulinivorans
bacteria58,CSM5MCUO,0.72442,g__Anaerostipes|s__Anaerostipes_hadrus
bacteria59,CSM5MCUO,0.71178,g__Paraprevotella|s__Paraprevotella_clara
bacteria60,CSM5MCUO,0.62334,g__Bacteroides|s__Bacteroides_fragilis
bacteria61,CSM5MCUO,0.44638,g__Klebsiella|s__Klebsiella_pneumoniae
bacteria62,CSM5MCUO,0.30421,g__Odoribacter|s__Odoribacter_splanchnicus
bacteria63,CSM5MCUO,0.26058,g__Parabacteroides|s__Parabacteroides_merdae
bacteria64,CSM5MCUO,0.25964,g__Bacteroides|s__Bacteroides_faecis
bacteria65,CSM5MCUO,0.24183,g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8
bacteria66,CSM5MCUO,0.23224,g__Paraprevotella|s__Paraprevotella_xylaniphila
bacteria67,CSM5MCUO,0.21057,g__Alistipes|s__Alistipes_shahii
bacteria68,CSM5MCUO,0.194,g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified
bacteria69,CSM5MCUO,0.16632,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA
bacteria70,CSM5MCUO,0.13281,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA
bacteria71,CSM5MCUO,0.10564,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA
bacteria72,CSM5MCUO,0.1018,g__Siphoviridae_noname|s__Propionibacterium_phage_PHL060L00
bacteria73,CSM5MCUO,0.0971,g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47
bacteria74,CSM5MCUO,0.06595,g__Ruminococcus|s__Ruminococcus_albus
bacteria75,CSM5MCUO,0.05857,g__Ruminococcus|s__Ruminococcus_lactaris
bacteria76,CSM5MCUO,0.03977,g__Bacteroides|s__Bacteroides_cellulosilyticus
bacteria77,CSM5MCUO,0.0373,g__Clostridiaceae_noname|s__Clostridiaceae_bacterium_JC118
bacteria78,CSM5MCUO,0.02857,g__Bifidobacterium|s__Bifidobacterium_longum
bacteria79,CSM5MCUO,0.0283,g__Alistipes|s__Alistipes_senegalensis
bacteria80,CSM5MCUO,0.02803,g__Bifidobacterium|s__Bifidobacterium_adolescentis
bacteria81,CSM5MCUO,0.02506,g__Collinsella|s__Collinsella_aerofaciens
bacteria82,CSM5MCUO,0.0241,g__Haemophilus|s__Haemophilus_parainfluenzae
bacteria83,CSM5MCUO,0.02376,g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16
bacteria84,CSM5MCUO,0.02325,g__Ruminococcus|s__Ruminococcus_flavefaciens
bacteria85,CSM5MCUO,0.01962,g__Eubacterium|s__Eubacterium_ramulus
bacteria86,CSM5MCUO,0.01191,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA
bacteria87,CSM5MCUO,0.0094,g__Propionibacterium|s__Propionibacterium_granulosum
bacteria88,CSM5MCUO,0.00911,g__Roseburia|s__Roseburia_hominis
bacteria89,CSM5MCUO,0.00727,g__Pseudomonas|s__Pseudomonas_fragi
bacteria90,CSM5MCUO,0.00725,g__Flavonifractor|s__Flavonifractor_plautii
bacteria91,CSM5MCUO,0.00426,g__Coprococcus|s__Coprococcus_catus
bacteria92,CSM5MCUO,0.00424,g__Veillonella|s__Veillonella_unclassified
bacteria93,CSM5MCUO,0.00412,g__Leuconostoc|s__Leuconostoc_lactis
bacteria94,CSM5MCUO,0.00206,g__Veillonella|s__Veillonella_parvula
bacteria95,CSM5MCUO,0.00194,g__Clostridium|s__Clostridium_hathewayi
bacteria96,CSM5MCUO,0.00076,g__Streptococcus|s__Streptococcus_thermophilus
bacteria97,CSM5MCUO,0.00043,g__Clostridium|s__Clostridium_citroniae
bacteria98,CSM5MCUO,0,g__Dialister|s__Dialister_invisus
bacteria99,CSM5MCUO,0,g__C2likevirus|s__C2likevirus_unclassified
bacteria100,CSM5MCUO,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA
bacteria101,CSM5MCUO,0,g__Clostridium|s__Clostridium_nexile
bacteria102,CSM5MCUO,0,g__Coprobacillus|s__Coprobacillus_unclassified
bacteria103,CSM5MCUO,0,g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii
bacteria104,CSM5MCUO,0,g__Escherichia|s__Escherichia_unclassified
bacteria105,CSM5MCUO,0,g__Bacteroides|s__Bacteroides_massiliensis
bacteria106,CSM5MCUO,0,g__Alistipes|s__Alistipes_unclassified
bacteria107,CSM5MCUO,0,g__Clostridium|s__Clostridium_sp_ATCC_BAA_442
bacteria108,CSM5MCUO,0,g__Coprobacter|s__Coprobacter_fastidiosus
bacteria109,CSM5MCUO,0,g__Clostridium|s__Clostridium_symbiosum
bacteria110,CSM5MCUO,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1
bacteria111,CSM5MCUO,0,g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus
bacteria112,CSM5MCUO,0,g__Dorea|s__Dorea_unclassified
bacteria113,CSM5MCUO,0,g__Subdoligranulum|s__Subdoligranulum_variabile
bacteria114,CSM5MCUO,0,g__Holdemania|s__Holdemania_unclassified
bacteria115,CSM5MCUO,0,g__Eggerthella|s__Eggerthella_unclassified
bacteria116,CSM5MCUO,0,g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_2_2_44A
bacteria1,CSM5MCVL,0,g__Bacteroides|s__Bacteroides_uniformis
bacteria2,CSM5MCVL,0.00246,g__Bacteroides|s__Bacteroides_ovatus
bacteria3,CSM5MCVL,0.00304,g__Bacteroides|s__Bacteroides_dorei
bacteria4,CSM5MCVL,0.01213,g__Faecalibacterium|s__Faecalibacterium_prausnitzii
bacteria5,CSM5MCVL,0.01241,g__Parabacteroides|s__Parabacteroides_unclassified
bacteria6,CSM5MCVL,0,g__Alistipes|s__Alistipes_putredinis
bacteria7,CSM5MCVL,0.96519,g__Acidaminococcus|s__Acidaminococcus_unclassified
bacteria8,CSM5MCVL,12.9383,g__Bacteroides|s__Bacteroides_thetaiotaomicron
bacteria9,CSM5MCVL,0,g__Parabacteroides|s__Parabacteroides_johnsonii
bacteria10,CSM5MCVL,0,g__Subdoligranulum|s__Subdoligranulum_unclassified
bacteria11,CSM5MCVL,2.32747,g__Bacteroides|s__Bacteroides_xylanisolvens
bacteria12,CSM5MCVL,0,g__Bacteroides|s__Bacteroides_salyersiae
bacteria13,CSM5MCVL,0,g__Ruminococcus|s__Ruminococcus_bromii
bacteria14,CSM5MCVL,0,g__Oscillibacter|s__Oscillibacter_unclassified
bacteria15,CSM5MCVL,0,g__Alistipes|s__Alistipes_onderdonkii
bacteria16,CSM5MCVL,0.00643,g__Dorea|s__Dorea_longicatena
bacteria17,CSM5MCVL,0,g__Eubacterium|s__Eubacterium_siraeum
bacteria18,CSM5MCVL,0,g__Parabacteroides|s__Parabacteroides_distasonis
bacteria19,CSM5MCVL,0,g__Blautia|s__Ruminococcus_obeum
bacteria20,CSM5MCVL,0,g__Eubacterium|s__Eubacterium_hallii
bacteria21,CSM5MCVL,0,g__Coprococcus|s__Coprococcus_comes
bacteria22,CSM5MCVL,0,g__Dorea|s__Dorea_formicigenerans
bacteria23,CSM5MCVL,1.12689,g__Escherichia|s__Escherichia_coli
bacteria24,CSM5MCVL,0.0822,g__Blautia|s__Ruminococcus_torques
bacteria25,CSM5MCVL,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA
bacteria26,CSM5MCVL,0,g__Clostridium|s__Clostridium_leptum
bacteria27,CSM5MCVL,0.0073,g__Blautia|s__Ruminococcus_gnavus
bacteria28,CSM5MCVL,0.0265,g__Odoribacter|s__Odoribacter_unclassified
bacteria29,CSM5MCVL,0,g__Bilophila|s__Bilophila_unclassified
bacteria30,CSM5MCVL,0,g__Holdemania|s__Holdemania_filiformis
bacteria31,CSM5MCVL,0,g__Anaerostipes|s__Anaerostipes_caccae
bacteria32,CSM5MCVL,0.1206,g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA
bacteria33,CSM5MCVL,0,g__Collinsella|s__Collinsella_tanakaei
bacteria34,CSM5MCVL,0,g__Mitsuokella|s__Mitsuokella_unclassified
bacteria35,CSM5MCVL,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA
bacteria36,CSM5MCVL,2.76218,g__Clostridium|s__Clostridium_clostridioforme
bacteria37,CSM5MCVL,0,g__Alistipes|s__Alistipes_finegoldii
bacteria38,CSM5MCVL,0,g__Potyvirus|s__Dasheen_mosaic_virus
bacteria39,CSM5MCVL,0,g__Bilophila|s__Bilophila_wadsworthia
bacteria40,CSM5MCVL,0.43222,g__Clostridium|s__Clostridium_bolteae
bacteria41,CSM5MCVL,31.40032,g__Bacteroides|s__Bacteroides_vulgatus
bacteria42,CSM5MCVL,0,g__Bacteroides|s__Bacteroides_caccae
bacteria43,CSM5MCVL,0,g__Anaerostipes|s__Anaerostipes_unclassified
bacteria44,CSM5MCVL,0,g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA
bacteria45,CSM5MCVL,2.68929,g__Clostridium|s__Clostridium_asparagiforme
bacteria46,CSM5MCVL,0,g__Propionibacterium|s__Propionibacterium_acnes
bacteria47,CSM5MCVL,0,g__Blautia|s__Blautia_hydrogenotrophica
bacteria48,CSM5MCVL,0,g__Bacteroides|s__Bacteroides_stercoris
bacteria49,CSM5MCVL,0,g__Eubacterium|s__Eubacterium_eligens
bacteria50,CSM5MCVL,0,g__Roseburia|s__Roseburia_intestinalis
bacteria51,CSM5MCVL,1.45548,g__Eubacterium|s__Eubacterium_rectale
bacteria52,CSM5MCVL,0,g__Bacteroides|s__Bacteroides_plebeius
bacteria53,CSM5MCVL,0,g__Paraprevotella|s__Paraprevotella_unclassified
bacteria54,CSM5MCVL,0,g__Barnesiella|s__Barnesiella_intestinihominis
bacteria55,CSM5MCVL,0,g__Oscillibacter|s__Oscillibacter_sp_KLE_1745
bacteria56,CSM5MCVL,0,g__Parasutterella|s__Parasutterella_excrementihominis
bacteria57,CSM5MCVL,0,g__Roseburia|s__Roseburia_inulinivorans
